MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumEpisodes,MetaTrain/Average/QfLoss,MetaTest/sweep-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/sweep-v1/AverageReturn,MetaTest/sweep-v1/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/sweep-v1/MinReturn,MetaTest/sweep-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTest/sweep-v1/Iteration,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/sweep-v1/NumEpisodes,MetaTest/sweep-v1/MaxReturn,MetaTest/sweep-v1/TerminationRate
-33.86996086067577,5.1551027,10,2.897397,7.019679877133227,8.489232,-26.012415998558954,-26.012415998558957,0.0,-11.946206808048819,-33.86996086067577,-26.012415998558954,0.0,5.6637764,0.7665692,0,0,224000,7.019679877133227,-26.012415998558957,0.0,10,-11.946206808048819,0.0
-54.555119887831324,2.9480426,10,140.68542,10.200947607315642,59.29718,-42.44582004199911,-42.44582004199911,0.0,-22.81855039090463,-54.555119887831324,-42.44582004199911,0.0,34.191296,0.4544251,1,1,248000,10.200947607315642,-42.44582004199911,0.0,10,-22.81855039090463,0.0
-63.08038335169184,1.3067175,10,196.11913,7.09478275894593,8.425116,-52.768572871688754,-52.768572871688754,0.0,-36.85496572637051,-63.08038335169184,-52.768572871688754,0.0,47.24206,0.2809061,2,2,272000,7.09478275894593,-52.768572871688754,0.0,10,-36.85496572637051,0.0
-41.340375304005875,0.09398727,10,379.62442,3.9173017981112515,8.968293,-36.03475008044681,-36.03475008044681,0.0,-30.654572200445465,-41.340375304005875,-36.03475008044681,0.0,-16.449692,0.21147428,3,3,296000,3.9173017981112515,-36.03475008044681,0.0,10,-30.654572200445465,0.0
-47.13465848756361,-0.33609134,10,811.3824,15.998947104626584,9.659262,-30.982266064762918,-30.982266064762904,0.0,12.12255399483301,-47.13465848756361,-30.982266064762918,0.0,-204.00528,0.26917738,4,4,320000,15.998947104626584,-30.982266064762904,0.0,10,12.12255399483301,0.0
-40.73473049914753,-0.3882063,10,1693.5604,175.19040125235213,9.798986,37.16988238369689,37.16988238369687,0.0,550.8864834815073,-40.73473049914753,37.16988238369689,0.0,-420.27283,0.4073692,5,5,344000,175.19040125235213,37.16988238369687,0.0,10,550.8864834815073,0.0
-48.88093473250458,-0.55014133,10,5738.488,7.7657645459587625,15.959057,-38.65873191243041,-38.658731912430405,0.0,-23.947252801449054,-48.88093473250458,-38.65873191243041,0.0,-864.9643,0.5787638,6,6,368000,7.7657645459587625,-38.658731912430405,0.0,10,-23.947252801449054,0.0
-51.83671740729941,-0.29903814,10,7379.586,55.54199834695504,63.074066,-14.490549294730457,-14.490549294730442,0.0,149.08741119218587,-51.83671740729941,-14.490549294730457,0.0,-1037.6284,0.82047176,7,7,392000,55.54199834695504,-14.490549294730442,0.0,10,149.08741119218587,0.0
-41.034383022246615,-0.8549853,10,17336.504,1945.522651285815,213.10944,977.0334474518571,977.0334474518577,0.0,5079.850591768706,-41.034383022246615,977.0334474518571,0.0,-1628.6653,0.9588737,8,8,416000,1945.522651285815,977.0334474518577,0.0,10,5079.850591768706,0.0
-30.28982167807501,-3.4855902,10,40363.855,2093.1632291113706,84.35965,1279.0995911968935,1279.0995911968932,0.0,5876.400411359099,-30.28982167807501,1279.0995911968935,0.0,-3041.7996,1.6635753,9,9,440000,2093.1632291113706,1279.0995911968932,0.0,10,5876.400411359099,0.0
-29.999982728051936,-4.545184,10,82783.19,3684.5553146223488,50.994762,3290.1032070404644,3290.1032070404663,0.2,10864.083289783426,-29.999982728051936,3290.1032070404644,0.2,-4483.365,2.8765264,10,10,464000,3684.5553146223488,3290.1032070404663,0.0,10,10864.083289783426,0.0
-25.204888749655613,-7.6776824,10,185117.7,5445.769244546887,77.85581,4504.941188788721,4504.94118878872,0.1,15022.645095279939,-25.204888749655613,4504.941188788721,0.1,-7290.0854,5.141835,11,11,488000,5445.769244546887,4504.94118878872,0.0,10,15022.645095279939,0.0
